Index,x[m],Actual,order-10,order-50
169,0.845,10.232407030584492,10.013092020334362,10.122672426995386
170,0.85,10.683766995888249,10.45790842219122,10.590256541645875
171,0.855,11.026285833398765,10.800478774062569,10.9436651531526
172,0.86,11.263095982834235,11.051989159930727,11.188016191349405
173,0.865,11.396634699126842,11.21527182904575,11.327341779137884
174,0.87,11.428342462288768,11.287780800049216,11.364546565459802
175,0.875,11.358513885177752,11.265902802934166,11.301447684702541
176,0.88,11.186207560540264,11.146407571054976,11.138847718516892
177,0.885,10.909173125867293,10.926142535114748,10.876609878352614
178,0.89,10.523786246974083,10.601424882959957,10.513692468586461
179,0.895,10.025014552955216,10.167597139737154,10.048109808476905
180,0.9,9.406491257051364,9.618798736658338,9.476898294855587
181,0.905,8.660886675578885,8.947994923900843,8.796339547697752
182,0.91,7.781024226113196,8.147468089833334,8.002390604919908
183,0.915,6.76276883558304,7.21033600795518,7.0910761954811665
184,0.92,5.611971777953969,6.134441109559335,6.0604682601094115
185,0.925,4.360023795453026,4.9316008244286795,4.919025085843963
186,0.93,3.094147490326935,3.648050152801238,3.706627696526519
187,0.935,1.9970082157898557,2.4030677068474766,2.5333654575320734
188,0.94,1.3362288450557769,1.4336447529567247,1.6233932216698337
189,0.945,1.3030894688767256,1.054752508336784,1.2779014139160547
190,0.95,1.8212692000827413,1.4113655738639013,1.637692542580396
191,0.955,2.6272648055198102,2.2711664983724953,2.4819789156636105
192,0.96,3.485159362021528,3.2603741090692404,3.4522154245802232
193,0.965,4.262298472712462,4.153031959370421,4.330604234622616
194,0.97,4.901119949915128,4.870517845932512,5.04168644550233
195,0.975,5.381497976318696,5.3977302827555,5.572578134296954
196,0.98,5.698490788101899,5.738313904263283,5.9289217488143375
197,0.985,5.851679294092524,5.9012773476886675,6.118512328889608
198,0.99,5.840326284564119,5.901096473558922,6.14625089381913
199,0.995,5.661066852616587,5.753532698958148,6.012844569641226
200,1.0,5.306583842909831,5.460940909804389,5.714257427164876
201,1.005,4.764627606605111,5.008468718154472,5.241243269445819
202,1.01,4.017334085049521,4.373018583062555,4.579222749630872
203,1.015,3.041726126763202,3.52835718439421,3.708510955102406
204,1.02,1.8150214911291345,2.44628002253767,2.6054890636950883
205,1.025,0.3374946075435075,1.1034709424538307,1.24995897048872
206,1.03,-1.2875854678837864,-0.4863888390318891,-0.34316642673621267
207,1.035,-2.651397578383833,-2.160420721241066,-2.0150853794722003
208,1.04,-2.9515432123738305,-3.334349369635552,-3.199267613403906
209,1.045,-1.869275969830406,-2.982689915580055,-2.898570563086361
210,1.05,-0.1045740254012167,-1.0711688565024806,-1.0665011069692545
211,1.055,1.6864060959102738,1.1180237209097612,1.0675389579976633
212,1.06,3.2682135079617143,2.9512998885514445,2.8866839331642233
213,1.065,4.603315209352438,4.41157156466771,4.365122779485202
214,1.07,5.709898497334164,5.570454346833101,5.565611057484633
215,1.075,6.615510124911861,6.484156212477345,6.539991708105918
216,1.08,7.344935902895675,7.185262293881044,7.320577078805785
217,1.085,7.91795260470522,7.698066168488623,7.927401737845099
218,1.09,8.349637854188,8.07843680849171,8.377118662500143
219,1.095,8.651176939919946,8.385080342654742,8.684826541282137
220,1.1,8.830624810366825,8.61218483354466,8.861692110539247
221,1.105,8.893517024411917,8.737317805930385,8.915229057645393
222,1.11,8.8433460224276,8.752084472023283,8.850837396517097
223,1.115,8.68195492993578,8.655473559227088,8.672848913133429
224,1.12,8.40992124029362,8.447960040332028,8.384806347817722
225,1.125,8.027035731305778,8.129714183199674,7.9894808420261665
226,1.13,7.533049830555044,7.700517572923102,7.489916296945027
227,1.135,6.928996931820063,7.160507906374118,6.889797046300249
228,1.14,6.219629555243208,6.511799373073218,6.1938745144898295
229,1.145,5.417870567189674,5.7615573268265265,5.4153105463836955
230,1.15,4.552468730195826,4.9275975689614295,4.583953032485891
231,1.155,3.6793089722471817,4.047851426404881,3.7451683697909006
232,1.16,2.8922646115444275,3.1937051777793615,2.9621487603350074
233,1.165,2.3181185679179426,2.480463924274506,2.3345096312367684
234,1.17,2.0731197806182355,2.0529571059533906,1.9959038774376676
235,1.175,2.1928411618350703,2.019971141169558,2.0445918816731714
236,1.18,2.605451157130524,2.3689143221520808,2.449930940099324
237,1.185,3.182448610374957,2.9641280336564533,3.0662198524610624
238,1.19,3.80512904189936,3.6418487325159874,3.7461751703592063
239,1.195,4.392868369517487,4.286122393200082,4.389013885031303
240,1.2,4.900003041686326,4.83665940673894,4.937850168829966
241,1.205,5.303838115004624,5.268568635179473,5.368836708324832
242,1.21,5.594621082538653,5.575367531887534,5.676221061558624
243,1.215,5.769324119562609,5.760422742061577,5.863294697883101
244,1.22,5.8283287542713484,5.8323649140385365,5.9348366342317265
245,1.225,5.773964754121471,5.800116549849797,5.893539457571799
246,1.23,5.610270791783989,5.669061867974607,5.743689481035608
247,1.235,5.343737177973377,5.442048344209241,5.492603762037798
248,1.24,4.9850768709096895,5.1235761021313575,5.147702304284416
249,1.245,4.552224143441349,4.724011684353091,4.718630722739016
250,1.25,4.074614118221675,4.2636397014248,4.227544571859585
251,1.255,3.597888517617913,3.777396043338907,3.7153414023576854
252,1.26,3.1858644842796124,3.319459525043705,3.238875976204589
253,1.265,2.9134987418700464,2.9633619894785728,2.8713306297063803
254,1.27,2.845641845918847,2.7895784985375824,2.695505834313364
255,1.275,3.008603310340475,2.8560156446426346,2.7667556725417546
256,1.28,3.376365694313748,3.1654517753958076,3.0808142546467954
257,1.285,3.884829827444297,3.660217126346039,3.583862352251634
258,1.29,4.460323064730746,4.252611866365829,4.194367581125408
259,1.295,5.0406529452017255,4.861906777253936,4.831413415425354
260,1.3,5.581974489979581,5.431723283368273,5.435706287731973
261,1.305,6.056774067918948,5.929292377089581,5.97043323204654
262,1.31,6.449194559733384,6.338556922463887,6.414418844124133
263,1.315,6.75080495242165,6.65391251289156,6.756963920737582
264,1.32,6.957623449892183,6.875643421286287,6.994514474253265
265,1.325,7.06829046150164,7.006276453846051,7.127578737175085
266,1.33,7.083102769820082,7.047986863689859,7.158408788393585
267,1.335,7.003684418961001,7.0018856017712245,7.090200081928668
268,1.34,6.833185686687349,6.868960898276097,6.927281748280063
269,1.345,6.577010035663821,6.651601120955966,6.675680282804404
270,1.35,6.244150190386284,6.355156356640639,6.344007338878088
271,1.355,5.84922941120394,5.98972666037323,5.945021804662956
272,1.36,5.415183572379327,5.572518519834868,5.498069900711075
273,1.365,4.975965962091119,5.130760676678708,5.032033539292047
274,1.37,4.577489719701874,4.704295022122723,4.5878308602017785
275,1.375,4.273612894151476,4.345396319723145,4.218313888208563
276,1.38,4.11435229788773,4.111820017305073,3.981569624340776
277,1.385,4.128626465758866,4.050498904358411,3.9246915865220933
278,1.39,4.311563709105072,4.1771452154822155,4.063265363764934
279,1.395,4.626401141417095,4.466232603745825,4.371259367760725
280,1.4,5.019330637467053,4.861368828931057,4.791116709871819
281,1.405,5.436033199741698,5.297773707063103,5.255840432205507
282,1.41,5.831448115616469,5.720141090413161,5.7072424122862655
283,1.415,6.172156424818203,6.08891869651026,6.103322243156798
284,1.42,6.43460770884559,6.378685730366364,6.417079387794523
285,1.425,6.602078854922404,6.573985324006393,6.631807976708858
286,1.43,6.661782810017249,6.665218809354963,6.736520833337531
287,1.435,6.602509657857984,6.645073595039897,6.722685228212237
288,1.44,6.412715190391028,6.505528923555256,6.582023495680937
289,1.445,6.078818094341377,6.235713506018402,6.304839293789556
290,1.45,5.583424521438047,5.820578772030732,5.878445304911081
291,1.455,4.903176277249682,5.239720736749817,5.285401342336316
292,1.46,4.005926376616429,4.465552409025598,4.501272759375817
293,1.465,2.847232453019904,3.4603687341943115,3.4915810862792496
294,1.47,1.368049771541175,2.172534756821357,2.208068911568262
295,1.475,-0.4941427714925702,0.5348818317757793,0.5871874311140859
296,1.48,-2.715217140869405,-1.5164375877826348,-1.4316296412007574
297,1.485,-4.757052558650754,-3.906431052214373,-3.775000692100372
298,1.49,-4.987763580896122,-5.800573185753013,-5.635325330628524
299,1.495,-3.0231174754628283,-4.942535279686238,-4.826847675440593
300,1.5,-0.55162825756032,-1.682162537688506,-1.670588402483256
301,1.505,1.619244035762282,1.1214727000918545,1.0764421534078648
302,1.51,3.3974291663482403,3.1643140225342643,3.10398704957764
303,1.515,4.838273746313514,4.710397531302929,4.657333794748561
304,1.52,6.0036984731499015,5.909910242400091,5.879233882234722
305,1.525,6.941276715498933,6.842119072530425,6.850363584061158
306,1.53,7.684986702217445,7.538285699267215,7.616744556886779
307,1.535,8.258547646396671,8.004456486353128,8.207213141673499
308,1.54,8.678136922972522,8.34249464312007,8.640409201130806
309,1.545,8.954215603455214,8.649851799062612,8.92737710709073
310,1.55,9.092642286546532,8.867769626431418,9.074560961165892
311,1.555,9.095246359965682,8.956274171260517,9.085194699089158
312,1.56,8.95995150427286,8.90671381579334,8.959021099814645
313,1.565,8.680451974477451,8.714932395821036,8.692385691648187
314,1.57,8.245338829784204,8.373492063596782,8.278105738842235
315,1.575,7.636410867196459,7.869235811692352,7.704585367916021
316,1.58,6.825595215761875,7.181025382954845,6.954981358520978
317,1.585,5.769217867947561,6.275947175772393,6.000709486699208
318,1.59,4.396648281588,5.10216535936373,4.7910656594227605
319,1.595,2.5853848561996613,3.5744472942936465,3.252309468807857
320,1.6,0.0973496527238735,1.5416063914017468,1.2614461310092144
321,1.605,-3.6290305314722566,-1.2992474433932566,-1.4634537198397224
322,1.61,-10.554600097076792,-5.693020959851845,-5.663637400145749
323,1.615,-19.24081605335317,-14.400481122616243,-14.033480598476233
324,1.62,-6.698905614032364,-23.994041738146592,-23.28706897880337
325,1.625,-1.6484785299313045,0.8867708706390136,0.7439346943856471
326,1.63,1.446944859226051,1.3640398804894347,1.381787826716876
327,1.635,3.62494116228309,3.896322852968146,3.893749614411516
328,1.64,5.254847040243423,5.400217579900712,5.388245024048034
329,1.645,6.509878181886255,6.622624050504713,6.599592298940909
330,1.65,7.484428706070845,7.573231166420522,7.534288423761451
331,1.655,8.23482434592077,8.320125386433704,8.25269253384085
332,1.66,8.796528202705465,8.771406502839337,8.782495355492248
333,1.665,9.192382979301398,8.20110917243761,9.161695506381157
334,1.67,9.436895833068364,8.970316123276767,9.398628536538958
